node_id,title,date,url,category,article
3074331,Consumer rights body’s oil price monitoring starts tomorrow,19-07-2022,/business/news/consumer-rights-bodys-oil-price-monitoring-starts-tomorrow-3074331,business,"The Directorate of National Consumer Rights Protection (DNCRP) will start monitoring the market from tomorrow to ensure that no trader can sale edible oil at prices higher than the newly reduced rates, which come into effect on July 18. The consumer rights body took the decision at the third meeting of the National Market Monitoring Taskforce as a section of traders are still selling the cooking oil at the previous high prices. Tapan Kanti Ghosh, head of the committee and senior commerce secretary, chaired the meeting held at his office in the secretariat in Dhaka today. On July 17, the government reduced bottled soybean oil's retail price by Tk 14 a litre. The new price, Tk 185, was supposed to come from July 18. The price of palm oil was reduced by Tk 6 a litre to Tk 152. However, the retailers, millers and refiners are yet to follow the new prices of the edible oil and still selling at the previous high prices in the local markets. ""So, we have decided that the officers of the (DNCRP) will vigil the markets so that the retailers, milers and refiners cannot sell edible oil at the previous rates as the prices have already been reduced,"" Ghosh told The Daily Star over phone after the meeting. The commerce secretary also said the government may reduce the edible oil prices in the local market substantially soon as the global prices of the cooking oil have reduced significantly. In the taskforce meeting, the commerce ministry also has decided to write to the National Board of Revenue to reduce duty on import of canola and sunflower oil to increase the diversity of the edible oil in the market, he said."
3074126,Chattogram shares bleed for another day,19-07-2022,/business/news/chattogram-shares-bleed-another-day-3074126,business,"Shares on the Chittagong Stock Exchange (CSE) witnessed a major fall for the second straight day today. The CASPI, the broader index of the bourse in the port city, closed at 18,066, down 214 points or 1.17 per cent. It gave up 242 points, or 1.3 per cent, on Monday. Turnover fell to Tk 11.70 crore from Tk 13.61 crore a day ago. On the day, only 19 securities rose, while 246 declined and 21 did not see any price change."
3073706,bKash’s instant add money service at Dev Bank,19-07-2022,/business/organisation-news/news/bkashs-instant-add-money-service-dev-bank-3073706,business,"Clients of Bangladesh Development Bank (BDB) can now use the ""Add Money"" service of bKash to transfer their funds with the state-owned commercial bank to an account with the mobile financial service provider. Now, bKash's ""Add Money"" network includes a total of 37 banks, a press release said. So, the more than roughly one lakh customers of the bank can add money instantly to any bKash account without any charge at any time. To avail this service, customers registered with the BDB's iBanking need to select the ""Add Money"" icon from the home-screen of the bKash app, find ""Bank to bKash"", then tap on the ""Internet Banking"" option. They have to select ""Bangladesh Development Bank Limited"" from the list of banks and provide a few essential information to sign into their bank account for the next step."
3074291,Textile millers demand 360 days for deferred LC payment ,19-07-2022,/business/news/textile-millers-demand-360-days-deferred-lc-payment-3074291,business,"The leaders of Bangladesh Textile Mills Association (BTMA) today urged the central bank to extend the time of Usance Paid At Sight (UPAS) LC or deferred LC payment to 360 days from the existing 180 days as the dollar crisis deepens. The time limit of payment for industrial raw materials under the deferred LC is 180 days, but it got difficult to pay for the current dollar crisis, BTMA said in a statement today. Mohammad Ali Khokon, president of BTMA, requested the central bank to extend the time of payment to 360 days from 180 days, according to the statement. Khokon also requested the newly appointed central bank governor, Abdur Rouf Talukder, to fix the time to two years for making payment for capital machinery under UPAS LC. In response to the BTMA, the central bank governor said a circular will be published soon by the Bangladesh Bank on increasing the time limit for raw material import from 180 days to 360 days, the BTMA statement also said. In the meeting, Ahmed Jamal, deputy governor of Bangladesh Bank; Harunur Rashid, additional director; Md Fazlul Hoque, vice-president of BTMA; Md Saleudh Zaman Khan, Syed Enayat Kabir and Razeeb Haider, Estahak Ahmed Saikat, Md. Fayazur Rahman Bhuiyan, Rashidul Hasan Rinto, directors, and Monsoor Ahmed, additional director, were also present at the meeting."
3074276,"Tk 25,000 crore refinance scheme unveiled for CMSMEs",19-07-2022,/business/news/tk-25000-crore-refinance-scheme-unveiled-cmsmes-3074276,business,"Bangladesh Bank today unveiled a Tk 25,000 crore refinance scheme for cottage, micro, small and medium enterprises (CMSMEs). The refinance scheme against term loans for the CMSME sector will be revolving and will have a three-year tenure, said the central bank in a notice. ""If needed, the fund size will be increased,"" it said. The new scheme is aimed at creating easy access to funds for the entrepreneurs in the sector. Lenders will receive funds at 2 per cent from the central bank, while CMSME borrowers will get loans at a maximum interest rate of 7 per cent."
3074266,"‘Implement LDC action plan, amend labour law to get GSP Plus’",19-07-2022,/business/news/implement-ldc-action-plan-amend-labour-law-get-gsp-plus-3074266,business,"The European Union (EU) wants Bangladesh to implement the National Action Plan (NAP) by 2026 and amend the labour law soon to obtain the GSP Plus to the EU markets. A high-powered visiting EU delegation conveyed the message in a meeting with the senior officials of commerce, labour and foreign ministries in Dhaka today. The NAP is a roadmap of the Bangladesh government to address the challenges of the LDC graduation which is supposed to be implemented by 2026. Meanwhile, the EU's Generalised Scheme of Preferences Plus (GSP +) gives developing countries a special incentive to pursue sustainable development and good governance. The six-member EU trade committee led by Heidi Hautala held the meeting with the officials of the three ministries at the Foreign Service Academy to assess the country's labour and human rights and the workplace safety issues. Tapan Kanti Ghosh, senior secretary to the commerce ministry, led Bangladesh's side in the meeting. The EU has been putting pressure on Bangladesh over the last few years to amend the labour law and make a uniform law for both the workers at Export Processing Zones (EPZs) and outside of the EPZs. Currently, the labour law allows full freedom of forming unions of the workers outside of the EPZs but the workers of the EPZ factories have the Workers' Participation Committee. So, the EU has been suggesting the government for amending the labour law and making a single law for all workers for obtaining the GSP Plus."
3074261,"5,867 complaints against E-orange, only 33 settled so far",19-07-2022,/business/news/5867-complaints-against-e-orange-only-33-settled-so-far-3074261,business,"Only 33 out of the 5,867 complaints filed against controversial e-commerce platform E-orange as of June this year have so far been settled. Since September last year, 3,224 new complaints were filed against the platform and no complaints were resolved, according to data of the Directorate of National Consumer Rights Protection (DNCRP). E-orange founder Sonia Mehjabin and several of its officials have been in jail since their arrest on August 16 last year on charge of embezzling Tk 1,100 crore of customers. Sheikh Sohel Rana, the so-called patron of the e-commerce platform, has fled the country. Of the victims, around a year has passed since Arif Anwari, a freelancer who made advance payments of about Tk 9 lakh to E-orange for motorcycles and other products, filed a complaint with the DNCRP. But his complaints have not been resolved. An official of the Criminal Investigation Department (CID) said the department had recently concluded that E-orange officials laundered over Tk 230 crore abroad. Asked why the customers' complaints are not getting resolved, AHM Shafiquzzaman, director general at the DNCRP, said the directorate calls the officials of the companies for hearing to resolve complaints. But offices of many of such e-commerce platforms have shut down and there is no trace of their officials, he said."
3074226,"EDF deadline extended for textile millers, garment makers to Dec 31",19-07-2022,/business/news/edf-deadline-extended-textile-millers-garment-makers-dec-31-3074226,business,"The Bangladesh Bank today extended the new borrowing limit for the textile millers and garment makers from the Export Development Fund (EDF) until December 31 this year. The central bank raised the disbursement limit from the EDF to $30 million from $25 million in January this year and the disbursement deadline was set for June 30, 2022. The facility has now been extended for the members of the Bangladesh Textile Mills Association and the Bangladesh Garment Manufacturers and Exporters Association, the banking regulator said in a notice."
3074171,"5,815 complaints against Evaly in a year, resolved only 353",19-07-2022,/business/news/5815-complaints-against-evaly-year-resolved-only-353-3074171,business,"Some 5,815 new complaints were filed against Evaly at the Directorate of National Consumer Rights Protection (DNCRP) in the last one year but only 353 were resolved during this period. A total of 10,747 complaints have so far been filed against Evaly and only 4,495 were settled as of June this year, according to the DNCRP. This took the settlement rate of the controversial platform to 41 per cent as of June this year, which was 84 per cent a year earlier. The probability of getting back money for Evaly's customers is particularly low as it has a huge amount of liabilities to customers and merchants but only has a limited amount of assets. For example, a sum of Tk 25 crore of Evaly is now stuck in escrow accounts of different payment gateways and the e-commerce platform has goods worth Tk 25 crore in two of its warehouses at present, according to a court-instituted board. Justice AHM Shamsuddin Chowdhury Manik, who leads the board, recently said this amount was a ""drop in the ocean"" compared to the claims made against the company. Asked about the fall in the rate of complaints being resolved, AHM Shafiquzzaman, director general at the DNCRP, said the directorate calls the officials of the companies for hearing to resolve complaints. But offices of many of such e-commerce platforms have shut down and there is no trace of their officials, he said. ""The maximum number of complaints are against Evaly. There is no one to refund the money."" Mahbub Kabir Milon, managing director of Evaly appointed by the court, said the court has given them specific instruction to conduct an audit and give an opinion about whether the company should run or dissolve. ""So, we don't deal with the customer's complaint and we don't have any contact with the DNCRP in this regard,"" he added."
3074156,Bangladesh needs to resolve rights issues to be eligible for GSP Plus: EU Parliament VP,19-07-2022,/business/news/bangladesh-needs-resolve-rights-issues-be-eligible-gsp-plus-eu-parliament-vp-3074156,business,"The European Parliamentary Member on International Trade has suggested that Bangladesh needs to fix the human rights issues to be eligible for GSP Plus once the country graduates from LDC status. ""We have concerns over human rights abuses like the extrajudicial killings, enforced disappearances, shrinking civic space and so on,"" said leader of the delegation, Heidi Hautala who is also Vice-President of the European Parliament, at the DCAB Talk at National Press Club today (July 19, 2022). She said Bangladesh has a labour road map and now it is high time that the authorities implement it. She also spoke about the trade union rights that need to be ensured in the export processing zones. The good thing is that Bangladesh has promised to ensure trade union rights in the EPZs, she said. Hautala also said that Bangladesh must end child labour by 2025 as it prepares to get GSP Plus. She also spoke of amending the Digital Security Act that has negative impacts on media and the right to freedom of speech. EU is the largest export destination of Bangladesh. The export increased from euro 9 billion to euro 19 billion in 2019. EU has been providing duty-free and quota-free access to Bangladesh. As Bangladesh graduates out of LDC, the facility will go away. However, the country can be eligible under the new privilege, GSP Plus, but that will require stringent conditions like improving human rights and labour rights. The EU delegation is visiting Bangladesh to assess the country's situation. The trade committee led by Heidi Hautala includes José Manuel García-Margallo, Sven Simon, Agnes Jongerius, Jordi Cañas and Maximilian Krah, according to a statement of the European Parliament."
